Title,Author,URL,Summary
I Used to Know That: World History,Emma Marriott,https://www.goodreads.com/book/show/18811694-i-used-to-know-that,"Journey from preclassical civilization through to the end of the Cold War and rediscover major events and figures throughout history. This time the intriguing stories and lucid style will be sure to help anyone understand and remember.It can be difficult to keep different historical events and figures straight in your head, which is why I Used to Know That: World History presents major episodes in history with short, easily understood sections. Among the people, movements, and events covered are:Ancient Greece and Rome—Learn about the birth of democracy and the death of the Roman RepublicThe Middle Ages—From the Crusades to the Hundred Years War and the signing of the Magna Carta to the Black PlagueThe Renaissance—A cultural revival that changed art, poetry, learning, and religion foreverThe Revolutionary War—How America became independent; George Washington, the “father of the nation”The Age of Empire—European colonialism in Africa and Asia; American expansion and the Civil WarWars of the 20th Century—World War I and World War II; Hitler, Stalin, Churchill, and Roosevelt; the Cold War; the rise and fall of fascism and communismPacked with important facts and sweeping overviews of historical events, I Used to Know That: World History is essential reading for anyone who wants to understand the history of civilization and the geopolitical situation of today."
If You Can Read This,Jack Bowen,https://www.goodreads.com/book/show/7101781-if-you-can-read-this,"A PICTURE MAY BE WORTH A THOUSAND WORDS—BUT A FEW CHOICE WORDS CAN SPEAK VOLUMES!• If Ignorance Is Bliss, Why Aren’t More People Happy?• Bottled Water Is for Suckers• Clones Are People Too• At Least the War on the Environment Is Going Well• Don’t Believe Everything You Think• The Revolution Will Be TweetedLong before blogs, tweets, and sound bites, people were telling the world how they felt in brief, blunt bursts of information plastered on the backs of their cars. Whether they’re political or religious, passionate or proud, controversial or corny, these brightly colored, boldly lettered mini manifestos are declarations of who we are, where we stand, and what we’d rather be doing. But as bestselling author and noted philosopher Jack Bowen reveals, there’s much more to the pop-culture phenomenon of bumper stickers than rolling one-liners and drive-by propaganda—no less, in fact, than a wise, funny, poignant, contentious, and truthful discourse on the human condition.Mixing pop culture with the ideas of historically prominent philosophers and scientists, If You Can Read This exposes the deeper wisdom couched behind these slogans—or, as need be, exposes where they have gone wrong. If you brake for big ideas, now’s the time."
In the Shadow of Mountains,Steve McCurry,https://www.goodreads.com/book/show/794885.In_the_Shadow_of_Mountains,"McCurry’s photographs eloquently illustrate a country of contradictions, where the contemporary battles with the ancient and the spiritual clashes with the secular. Striking portraits of men and women, are presented alongside timeless images of children at play and shepherds tending their flocks and ancient sandstone cities are contrasted with shanty-towns constructed from tattered tarpaulins. The famous mountainous landscapes and ancient temples are shown together with scenes of daily life, such as a bread seller at his kiosk or traders at a market. McCurry’s unique ability to cross boundaries of language and culture to capture stories of human experience is fully exhibited in this remarkable new collection of images."
Infidel,Ayaan Hirsi Ali,https://www.goodreads.com/book/show/81227.Infidel,"One of today’s most admired and controversial political figures, Ayaan Hirsi Ali burst into international headlines following the murder of Theo van Gogh by an Islamist who threatened that she would be next. She made headlines again when she was stripped of her citizenship and resigned from the Dutch Parliament.Infidelshows the coming of age of this distinguished political superstar and champion of free speech as well as the development of her beliefs, iron will, and extraordinary determination to fight injustice. Raised in a strict Muslim family, Hirsi Ali survived civil war, female mutilation, brutal beatings, adolescence as a devout believer during the rise of the Muslim Brotherhood, and life in four troubled, unstable countries ruled largely by despots. She escaped from a forced marriage and sought asylum in the Netherlands, where she earned a college degree in political science, tried to help her tragically depressed sister adjust to the West, and fought for the rights of Muslim women and the reform of Islam as a member of Parliament. Under constant threat, demonized by reactionary Islamists and politicians, disowned by her father, and expelled from family and clan, she refuses to be silenced.Ultimately a celebration of triumph over adversity, Hirsi Ali’s story tells how a bright little girl evolves out of dutiful obedience to become an outspoken, pioneering freedom fighter. As Western governments struggle to balance democratic ideals with religious pressures, no other book could be more timely or more significant."
Insatiable,Asa Akira,https://www.goodreads.com/book/show/18778808-insatiable,"Asa Akira (28) has already had an extremely unusual life. Educated at the United Nations International School in Manhattan, she soon was earning a good living by stripping and working as a dominatrix at a sex dungeon. Akira has now built up a reputation for being of the most popular, hardworking, and extreme actors in the business, winning dozens of awards for her 330+ movies, including her #1 bestselling series �Asa Akira Is Insatiable”.InInsatiable, Akira recounts her extraordinary life in chapters that are hilarious, shocking, and touching. In a wry, conversational tone, she talks about her experiences shoplifting and doing drugs while in school, her relationship with other porn stars (she is married to one) and with the industry at large, and her beliefs about women and sexuality.Insatiableis filled with Akira’s unusual and often highly amusing anecdotes, including her visit to a New Hampshire sex shop run by a mother and son.In a world where porn is increasingly becoming part of the mainstream, Akira is one of very few articulate voices writing from the inside. She something important, controversial, and astonishingly interesting to say about sex and its central role in our lives and culture."
Into the Wild,Jon Krakauer,https://www.goodreads.com/book/show/1845.Into_the_Wild,"Librarian's Note: An alternate cover edition can be foundhereIn April, 1992, a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story ofInto the Wild.Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and, unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw away the maps. Leaving behind his desperate parents and sister, he vanished into the wild."
Islam dalam Sejarah dan Kebudayaan Melayu,Syed Muhammad Naquib al-Attas,https://www.goodreads.com/book/show/9793290-islam-dalam-sejarah-dan-kebudayaan-melayu,"Voltaire once said that historical facts, which are fragmentary and do not lead to any objective, are to history what transport goods are to an army�merely a burden of resistance; we must view history with a universal perspective, precisely because the human mind is so small that if it is burdened with those fragmentary facts, it will surely be oppressed.

Although the consideration of those minute facts shows and states things that truly occurred in history, if seen from the decorative viewpoint of the historical landscape, then those facts become false and are akin to an antinomy in the philosophy of history. We must regard such facts as words arranged in a dictionary; although each one of them clarifies the truth of its meaning, overall, it does not contain meaning because its arrangement is solely based on the sequence of letters in the alphabet, not on the interconnection of concepts and important words that can convey a depiction of the worldview of the community using that compiled language. Thus, it is similar to the metaphor used by Macaulay regarding the experiences of the traveler Gulliver in the land of Brobdingnag, inhabited by giant humans."
Latin America Diaries,Ernesto Che Guevara,https://www.goodreads.com/book/show/18936763-latin-america-diaries,"His principal interest was in archaeology and politics, and his first stop was Bolivia, which had recently experienced a far-reaching revolution, and where he had the opportunity to study the Inca remains at Tiahuanaco and elsewhere. He moved on to Peru, visiting Cuzco, Macchu Picchu and Lima, and along the Andes to Guayaquil in Ecuador before sailing up the coast to Panama, Costa Rica and Guatemala, where he was caught up in the CIA overthrow of the Arbenz government, and later Mexico, where he was to meet Fidel Castro for the first time.Throughout his travels, the young Guevara kept a spasmodic diary in which he recorded his impressions of his two-year journey. It was an expedition, which thousands of backpackers accomplish today, and thousands more dream about."
Life Lessons From Freud,Brett Kahr,https://www.goodreads.com/book/show/18632010-life-lessons-from-freud,"The series Lessons of Life addresses, in each volume, the work of a great thinker, bringing to light their most relevant ideas for understanding our daily dilemmas.

�The first man to throw words of insult at the enemy instead of a spear was the founder of civilization. Therefore, words are substitutes for acts, and in certain circumstances, the only substitutes.� � Sigmund Freud

With his revolutionary ideas about the meaning of dreams, repression, the unconscious, and the clinical method of treatment through speech, Freud left a legacy of rich, detailed, and provocative psychology. Once absorbed, it has the ability to enhance our sensitivity to others and ourselves, deepen our creativity, and improve the fabric of our lives.

Organized by The School of Life, a center of knowledge and well-being founded in London by Alain de Botton, these books demonstrate how the voices of wisdom from other times have something inspiring for each of us.

�There is much to learn from these little pearls.� � The Observer"
Love Without Limits,Nick Vujicic,https://www.goodreads.com/book/show/22223314-love-without-limits,"It Doesn’t Take a Perfect Person to Find a Perfect LoveEven though he was born without arms or legs, Nick Vujicic created a “ridiculously good life.” But after dating disappointments and a failed relationship, he reached his mid-twenties worried that he would never find a woman to love him and share his life.Then Nick met Kanae and everything changed.  But even with undeniable chemistry, they would have to navigate twists and turns worthy of a romantic comedy before becoming ""one"" in marriage.In Love Without Limits Nick and Kanae tell how they improbably found each other, fell in love, and then fought to overcome skepticism from others about their relationship. Filled with practical insights that will benefit any couple, this inspiring book describes a godly courtship and the early years of the Vujicics’ marriage and parenting journey.Above all, Love Without Lim its is an inspiring reminder that when Christ is at the center of a relationship--even with serious challenges--true love will triumph.***“Despite my optimism about other parts of life, I decided that love in this world had limits after all. I’d become convinced that no woman would want to marry such an obviously imperfect man as me….”As a boy growing up in Australia, Nick Vujicic could not understand why God had allowed him to be born without limbs and if He would ever bring a woman into Nick’s life.On the other side of the world, K anae Miyahara— a girl growing up in Mexico -- saw dysfunction sadly separate her family.  She wondered if a loving, lasting marriage was even possible.Later, when Nick realized that God had a purpose for him, his life took on new meaning.  But after a long-term relationship ended in heartache, would he ever find someone to marry?Kanae experienced relationships based on superficial attraction, but she longed to find a mate with strong character and faith—a man who would be a godly husband and father.When Nick and Kanae met in the most amazing way, they realized that God—the ultimate Matchmaker-- had used even their discouraging and painful experiences to prepare them for each other…for the love of their life."
Man's Search for Meaning,Viktor E. Frankl,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful.Man's Search for Meaninghas become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living."
Mencari Jalan Pulang,Kassim Ahmad,https://www.goodreads.com/book/show/6401604-mencari-jalan-pulang," It's a memoir that explores the author's philosophical and political journey from socialism to Islam. Kassim Ahmad, a notable figure in Malaysian politics, reflects on his early life, his time at the University of Malaya, and his political engagement as the Chairman of the Malaysian People's Socialist Party. The book delves into his ideological shifts, influenced by both personal experiences and broader socio-political contexts.
This work not only serves as a personal narrative but also offers insights into Malaysian history and the evolution of Islamic thought in the region. Kassim's critiques of socialism and his embrace of Islamic principles are central themes throughout the memoir"
Mengemudi Bahtera Perubahan Minda,Mohd Asri Zainul Abidin,https://www.goodreads.com/book/show/11199705-mengemudi-bahtera-perubahan-minda,"This book is part of a collection of writings by Dr. Mohd Asri Zainul Abidin in his regular column 'Pena Mufti' in Mingguan Malaysia, which began on March 11, 2007. His writings each week have attracted the attention of all layers of society in this country, from the upper echelons to the common people. This collection of articles touches on various topics and issues regarding community beliefs, mind development and economy, entertainment and arts, politics and administration, and much more"
My Brief History,Stephen Hawking,https://www.goodreads.com/book/show/18209305-my-brief-history,"Stephen Hawking has dazzled readers worldwide with a string of bestsellers exploring the mysteries of the universe. Now, for the first time, perhaps the most brilliant cosmologist of our age turns his gaze inward for a revealing look at his own life and intellectual evolution.My Brief Historyrecounts Stephen Hawking’s improbable journey, from his postwar London boyhood to his years of international acclaim and celebrity. Lavishly illustrated with rarely seen photographs, this concise, witty, and candid account introduces readers to a Hawking rarely glimpsed in previous books: the inquisitive schoolboy whose classmates nicknamed him Einstein; the jokester who once placed a bet with a colleague over the existence of a particular black hole; and the young husband and father struggling to gain a foothold in the world of physics and cosmology. Writing with characteristic humility and humor, Hawking opens up about the challenges that confronted him following his diagnosis of ALS at age twenty-one. Tracing his development as a thinker, he explains how the prospect of an early death urged him onward through numerous intellectual breakthroughs, and talks about the genesis of his masterpieceA Brief History of Time—one of the iconic books of the twentieth century. Clear-eyed, intimate, and wise,My Brief Historyopens a window for the rest of us into Hawking’s personal cosmos."
My Sister's Keeper,Jodi Picoult,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,"New York Timesbest-selling author Jodi Picoult is widely acclaimed for her keen insights into the hearts and minds of real people. Now she tells the emotionally riveting story of a family torn apart by conflicting needs and a passionate love that triumphs over human weakness.Anna is not sick, but she might as well be. By age 13 she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate—a life and a role that she has never challenged ... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sister—and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.My Sister's Keeperexamines what it means to be a good parent, a good sister, a good person. Is it morally correct to do whatever it takes to save a child's life, even if that means infringing upon the rights of another? Is it worth trying to discover who you really are if that quest makes you like yourself less? Should you follow your own heart or let others lead you? Once again, inMy Sister's Keeper, Jodi Picoult tackles a controversial real-life subject with grace, wisdom, and sensitivity."
Night ,Elie Wiesel,https://www.goodreads.com/book/show/1617.Night,"Born in the town of Sighet, Transylvania, Elie Wiesel was a teenager when he and his family were taken from their home in 1944 to Auschwitz concentration camp, and then to Buchenwald.Nightis the terrifying record of Elie Wiesel's memories of the death of his family, the death of his own innocence, and his despair as a deeply observant Jew confronting the absolute evil of man. This new translation by his wife and most frequent translator, Marion Wiesel, corrects important details and presents the most accurate rendering in English of Elie Wiesel's testimony to what happened in the camps and of his unforgettable message that this horror must simply never be allowed to happen again."
No god but God,Reza Aslan,https://www.goodreads.com/book/show/25307.No_god_but_God,"InNo god but God,internationally acclaimed scholar Reza Aslan explains Islam—the origins and evolution of the faith—in all its beauty and complexity.This updated edition addresses the events of the past decade, analyzing how they have influenced Islam’s position in modern culture. Aslan explores what the popular demonstrations pushing for democracy in the Middle East mean for the future of Islam in the region, how the Internet and social media have affected Islam’s evolution, and how the war on terror has altered the geopolitical balance of power in the Middle East. He also provides an update on the contemporary Muslim women’s movement, a discussion of the controversy over veiling in Europe, an in-depth history of Jihadism, and a look at how Muslims living in North America and Europe are changing the face of Islam. Timely and persuasive,No god but Godis an elegantly written account that explains this magnificent yet misunderstood faith."
On Beauty,Susan  Johnson,https://www.goodreads.com/book/show/10049534-on-beauty,"Part of a series that pairs leading Australian thinkers and cultural figures with important themes in life, this exploration reflects on the concept of beauty. From both a personal and universal perspective, this essay analyzes what beauty means in Australian society, where discussing the topic is considered taboo."
On Certainty,Ludwig Wittgenstein,https://www.goodreads.com/book/show/762159.On_Certainty,"Written over the last 18 months of his life and inspired by his interest in G. E. Moore's defense of common sense, this much discussed volume collects Wittgenstein's reflections on knowledge and certainty, on what it is to know a proposition for sure."
On Liberty,John Stuart Mill,https://www.goodreads.com/book/show/385228.On_Liberty,"Alternate cover edition of ISBN 9780140432077Published in 1859, John Stuart Mill'sOn Libertypresented one of the most eloquent defenses of individual freedom in nineteenth-century social and political philosophy and is today perhaps the most widely-read liberal argument in support of the value of liberty. Mill's passionate advocacy of spontaneity, individuality, and diversity, along with his contempt for compulsory uniformity and the despotism of popular opinion, has attracted both admiration and condemnation."
Philosophy 101,Paul Kleinman,https://www.goodreads.com/book/show/17887932-philosophy-101,"Discover the world's greatest thinkers and their groundbreaking notions!Too often, textbooks turn the noteworthy theories, principles, and figures of philosophy into tedious discourse that even Plato would reject.Philosophy 101cuts out the boring details and exhausting philosophical methodology, and instead, gives you a lesson in philosophy that keeps you engaged as you explore the fascinating history of human thought and inquisition.From Aristotle and Heidegger to free will and metaphysics,Philosophy 101is packed with hundreds of entertaining philosophical tidbits, illustrations, and thought puzzles that you won't be able to find anywhere else.So whether you're looking to unravel the mysteries of existentialism, or just want to find out what made Voltaire tick,Philosophy 101has all the answers--even the ones you didn't know you were looking for."
Questioning the Veil: Open Letters to Muslim Women,Marnia Lazreg,https://www.goodreads.com/book/show/6833681-questioning-the-veil,"Why Muslim women should not wear the veilAcross much of the world today, Muslim women of all ages are increasingly choosing to wear the veil. Is this trend a sign of rising piety or a way of asserting Muslim pride? And does the veil really provide women freedom from sexual harassment? Written in the form of letters addressing all those interested in this issue, Questioning the Veil examines the inconsistent and inadequate reasons given for the veil, and points to the dangers and limitations of this highly questionable cultural practice. Marnia Lazreg, a preeminent authority in Middle East women's studies, combines her own experiences growing up in a Muslim family in Algeria with interviews and the real-life stories of other Muslim women to produce this nuanced argument for doing away with the veil.Lazreg stresses that the veil is not included in the five pillars of Islam, asks whether piety sufficiently justifies veiling, explores the adverse psychological effects of the practice on the wearer and those around her, and pays special attention to the negative impact of veiling for young girls. Lazreg's provocative findings indicate that far from being spontaneous, the trend toward wearing the veil has been driven by an organized and growing campaign that includes literature, DVDs, YouTube videos, and courses designed by some Muslim men to teach women about their presumed rights under the veil.An incisive mix of the personal and political, supported by meticulous research, Questioning the Veil will compel all readers to reconsider their views of this controversial and sensitive topic."
Quiet,Susan Cain,https://www.goodreads.com/book/show/8520610-quiet?from_search=true&from_srp=true&qid=YBM6zbJ4Lc&rank=1,"The book that started the Quiet RevolutionAt least one-third of the people we know are introverts. They are the ones who prefer listening to speaking; who innovate and create but dislike self-promotion; who favor working on their own over working in teams. It is to introverts—Rosa Parks, Chopin, Dr. Seuss, Steve Wozniak—that we owe many of the great contributions to society.InQuiet,Susan Cain argues that we dramatically undervalue introverts and shows how much we lose in doing so. She charts the rise of the Extrovert Ideal throughout the twentieth century and explores how deeply it has come to permeate our culture. She also introduces us to successful introverts—from a witty, high-octane public speaker who recharges in solitude after his talks, to a record-breaking salesman who quietly taps into the power of questions. Passionately argued, superbly researched, and filled with indelible stories of real people,Quiethas the power to permanently change how we see introverts and, equally important, how they see themselves.Now with Extra Libris material, including a reader’s guide and bonus content."
Religion Without God,Ronald Dworkin,https://www.goodreads.com/book/show/17622398-religion-without-god,"Originally delivered as the Einstein lectures at Bern University on 12–14 December 2011.The text of a draft of the lectures, presented on 8 December 2011 in the Colloquium in Legal, Political and Social Philosophy at NYU School of Law coordinated by Ronald Dworkin and Thomas Nagel, is available here: http://www.law.nyu.edu/academics/coll...Videos from the three lectures are available here: https://cast.switch.ch/vod/channels/1...An excerpt from the published version of the first chapter is available here: http://www.nybooks.com/articles/archi..."
Remembering Che: My Life with Che Guevara,Aleida March,https://www.goodreads.com/book/show/13236911-remembering-che,"For the first time, Aleida March evokes the memories of her partner, Ernesto Che Guevara. She describes their great romance and life together from the days when they first met as fellow guerrillas in Cuba's revolutionary war up to the tragic moment when she learned of Che's assassination in Bolivia less than a decade later. As Che's widow, Aleida writes with passion and poignancy of their shared political dreams for the future and their family. Never before have readers been offered such an intimate insight into the man behind one of the great political symbols of our time. This book reveals Aleida's own great strength and courage as she came to terms with her private loss while under the international spotlight of millions of others who also mourned the death of a world-famous revolutionary, perhaps comparable to Yoko Ono after the death of John Lennon. She also describes her efforts to raise her four children as ordinary children despite their father's legendary status in Cuba and abroad. Aleida March is currently the director of the Che Guevara Studies Center, Cuba."
"Rich Dad, Poor Dad",Robert T. Kiyosaki,https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad,"Rich Dad Poor Dad is Robert's story of growing up with two dads — his real father and the father of his best friend, his ""rich dad"" — and the ways in which both men shaped his thoughts about money and investing. The book explodes the myth that you need to earn a high income to be rich and explains the difference between working for money and having your money work for you."
"Rich Malaysia, Poor Malaysians",Anas Alam Faizli,https://www.goodreads.com/book/show/19497743-rich-malaysia-poor-malaysians,"Malaysia is blessed with abundant natural resources, petroleum being the most precious. With income per capita of about US$9,970 and Petronas continuously providing an onerously generous 40 per cent to government revenues, Malaysia has all the essential ingredients to flourish.It remains a mystery as to why and how this small country of 30 million people managed to shockingly assume the unsolicited title of the region’s most unequal nation.Have we the common people, appreciated how much wealth Malaysia has?Do we have a clear picture as to how such wealth was spent?In these essays, the author attempts to uncover how our oil and gas resources were developed and whether they have been exploited for or, rather, at the expense of the general public. The oil royalty dynamics are also explained step-by-step to provide a context to the on-going saga.How does the exploitation of this fast-depleting resource play a pivotal role in the multiple socio-economic realities we face, ranging from household debt to income inequality, stagnant wages and poor educational standards in international rankings?Is our national education a failure? Should we teach Philosophy in universities?What are the myths of the rich and poor? How can education alleviate the poor? Encounter failures inherent in the education system and discover the spirit of education volunteerism as possible ways out. This forms the raison d’etre for Teach for The Needs (TFTN) – to promote education equality among underprivileged children.Such a riposte to the current malaise in education begs the question, is school a betrayal to education itself? Is the time ripe to replace our current national philosophy of education with love and free education?The author’s search for enlightening answers to some of these hard pressing questions gave birth to this book where a mixture of ideas, ideals and critical proposals coalesce into one. Deliberations in this book are hardly the author’s alone – it is humbly shared in the hopes that they can be expounded further through the public domain. To that end – requiro!Categories: Criticism, Economics, Education, Energy, Essays, Malaysia, Oil and Gas, Pedagogy, Philosophy, Policy, Political and Social Views, Politics, Public Policy, Trade, Volunteerism"
Rumi's Little Book of Life,Rumi ,https://www.goodreads.com/book/show/14343182-rumi-s-little-book-of-life,"From Madonna to Deepak Chopra, celebrities have been recording and embracing Rumi's poetry for the past two decades, creating a resurgence of interest in this 13th century Sufi mystic. Rumi's Little Book of Life is a beautiful collection of 196 poems by Rumi, previously unavailable in English. Translated by native Persian speakers, Maryam Mafi and Azima Melita Kolin, this collection will appeal to Rumi lovers everywhere. This collection of mystical poetry focuses on one of life's core coming to grips with the inner life. During the course of life, each of us is engaged on an inner journey. Rumi's Little Book of Life is a guidebook for that journey. The poetry is a companion for those who consciously enter the inner world to explore the gardens within--out of the everyday ""world of dust""--through an ascending hierarchy that restores one's soul to the heart; the heart of the spirit; and in finding spirit, transcending all."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,https://www.goodreads.com/book/show/23692271-sapiens,"From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.” One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us? Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas. Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become? Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem."
Shy: A Memoir,Sian Prior,https://www.goodreads.com/book/show/22040760-shy,"It’s a shy word, a timid little word that begs to remain unnoticed. Only three letters long, and it begins with an exhortation to silence.Shhh.There’s no authority in it, no control. It’s a blushing, hunching word; a nervous, knock-kneed, wallflower word. A word for children, not grown-ups, because surely grown-ups grow out of shyness.Don’t they?SIAN PRIOR has maintained a career in the public eye for more than twenty years. For far longer than that she has suffered from excruciating shyness, only partly alleviated by the security she finds with her famous partner Tom.Eventually, after bolting from a party in a state of near-panic, she decides to learn about the science of social anxiety. But soon other questions intrude. About grief, intimacy, self-perception and fear; loss and longing and the consequences of love.Then Tom says he is leaving.Frank, provocative, remarkable in its clarity and beautifully written—Shyis a book you will be thinking and talking about long after you read the final page."
Sigmund Freud,Ernst Freud,https://www.goodreads.com/book/show/132438.Sigmund_Freud,"More than three hundred illustrations, including scores of photographs from the Freud family archives, complement quotations from Freud's own writings and letters"
Supercooperators,M.A. Nowak,https://www.goodreads.com/book/show/11560474-supercooperators,"EVOLUTION IS OFTEN PRESENTED AS A STRICTLY COMPETITIVE ENDEAVOR. This point of view has had serious implications for the way we see the mechanics of both science and culture. But scientists have long wondered how societies could have evolved without some measure of cooperation. And if there was cooperation involved, how could it have arisen from nature ""red in tooth and claw""? Martin Nowak, one of the world's experts on evolution and game theory, working here with bestselling science writer Roger Highfield, turns an important aspect of evolutionary theory on its head to explain why cooperation, not competition, has always been the key to the evolution of complexity. He offers a new explanation for the origin of life and a new theory for the origins of language, biology's second greatest information revolution after the emergence of genes. ""SuperCooperators ""also brings to light his game-changing work on disease. Cancer is fundamentally a failure of the body's cells to cooperate, Nowak has discovered, but organs are cleverly designed to foster cooperation, and he explains how this new understanding can be used in novel cancer treatments.Nowak and Highfield examine the phenomena of reciprocity, reputation, and reward, explaining how selfless behavior arises naturally from competition; how forgiveness, generosity, and kindness have a mathematical rationale; how companies can be better designed to promote cooperation; and how there is remarkable overlap between the recipe for cooperation that arises from quantitative analysis and the codes of conduct seen in major religions, such as the Golden Rule.In his first book written for a wide audience, this hugely influential scientist explains his cutting-edge research into the mysteries of cooperation, from the rise of multicellular life to Good Samaritans. With wit and clarity, Nowak and Highfield make the case that cooperation, not competition, is the defining human trait. ""SuperCooperators ""will expand our understanding of evolution and provoke debate for years to come."
The Alchemist,Paulo Coelho,https://www.goodreads.com/book/show/18144590-the-alchemist,"Combining magic, mysticism, wisdom, and wonder into an inspiring tale of self-discovery,The Alchemisthas become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, following our dreams."
The Ascent of Man,Jacob Bronowski,https://www.goodreads.com/book/show/461104.The_Ascent_of_Man,"Lauded by critics and devoured by countless readers as a companion to the acclaimed PBS series, this work traces the development of science as an expression of the special gifts that characterize man and make him preeminent among animals. Bronowski's exciting, splendidly illustrated investigation offers a new perspective not just on science, but on civilization itself. Photographs."
The Atheist's Bible,Joan Konner,https://www.goodreads.com/book/show/769787.The_Atheist_s_Bible,"""All thinking men are atheists,"" Ernest Hemingway famously wrote. True? Here are quips, quotes, and questions from a distinguished assortment of geniuses and jokers, giving readers a chance to decide for themselves.... When I think of all the harm [the bible] has done, I despair of ever writing anything to equal it.Oscar Wilde SAINT, n. A dead sinner revised and edited.Ambrose Bierce There ain't no answer. There ain't going to be any answer. There never has been an answer. That's the answer.Gertrude Stein Do not let yourself be great intellects are skeptical.Friedrich Nietzsche Millions long for immortality who don't know what to do with themselves on a rainy Sunday afternoon.Susan Ertz God is love, but get it in writing.Gypsy Rose Lee Nothing is at last sacred but the integrity of our own mind.Ralph Waldo Emerson The fact that a believer is happier than a skeptic is no more to the point than the fact that a drunken man is happier than a sober one.George Bernard Shaw"
The Big Questions,Steven E. Landsburg,https://www.goodreads.com/book/show/6144421-the-big-questions,"In the wake of his enormously popular books The Armchair Economist and More Sex Is Safer Sex , S teven L andsburg uses concepts from mathematics, economics, and physics to address the big questions in What is real? What can we know? What is the difference between right and wrong? A nd how should we live? Widely renowned for his lively explorations of economics, in his fourth book Landsburg branches out into mathematics and physics as well—disciplines that, like economics, the author loves for their beauty, their logical clarity, and their profound and indisputable truth—to take us on a provocative and utterly entertaining journey through the questions that have preoccupied philosophers through the ages. The author begins with the broadest possible categories—Reality and Unreality; Knowledge and Belief; Right and Wrong—and then focuses his exploration on specific from a mathematical analysis of the arguments for the existence of God; to the real meaning of the Heisenberg Uncertainty Principle and the Godel Incompleteness Theorem; to the moral choices we face in the marketplace and the voting booth. Stimulating, illuminating, and always surprising, The Big Questions challenges readers to re-evaluate their most fundamental beliefs and reveals the relationship between the loftiest philosophical quests and our everyday lives."
